team_id,team_activity,country_code,created_at
A14D08C497FF43DD8D4DD628C136C7CC,cycling,GBR,2024-03-05T12:47:39.544Z
680452BADB444CC8B60B0E3BE1F04E1D,cycling,GBR,2024-03-16T15:27:32.151Z
9BAFDBCB19DC45DD891018515B5B5197,tennis,NOR,2024-11-12T11:38:35.150Z
1213AC23A9D2486D80B306A8AD32E286,padel,NOR,2024-01-08T06:46:27.431Z
6A2E61C41D6542E2B127A861C7B62514,netball,GBR,2024-07-17T22:47:57.958Z
10DB170794B44DDC8CA7D9CBFDE0E1FA,gymnastics,GBR,2024-07-19T11:37:49.680Z
50C6A86C07C54D769C0224102E49B12F,football,GBR,2024-08-26T09:06:27.062Z
8F5484E13BAE4CAC832CC76EEFFB7F6A,cricket,GBR,2024-05-05T17:15:07.884Z
D31EEA872DA942FFB343AC36786617F3,water_sports,GBR,2024-03-25T20:22:52.143Z
E2E0296263D14423B0397EDE5AC5141D,music,NOR,2024-04-05T21:22:16.625Z
A7BB819B7DE74CAE9DB7EC1B0E74B0A3,football,GBR,2024-08-28T14:39:43.853Z
F97D0D5A2134419EAB7890C9DA38CC7D,cricket,GBR,2024-01-27T10:34:04.177Z
C46D1BF282D74EEB920A004F5570F095,football,GBR,2024-07-17T11:32:51.584Z
6CF89E1B95D34D30A6D751B5B3A58B45,cricket,GBR,2024-04-12T13:55:09.053Z
D79A4CFF2EFA4884A70C37351EF2F8C3,tennis,NOR,2024-01-09T12:04:50.171Z
6E0D624B51A740EC892D4ED9453210CA,dancing_and_cheer,GBR,2024-10-13T11:29:07.426Z
2947AB6355EA4622A0B8992A9D39890C,football,GBR,2024-08-23T14:33:41.997Z
9E92E705B9B84A67BD195757A13F6B8C,football,GBR,2024-09-15T15:11:49.672Z
9DF1E1635BEA42A5AB98684948D88D87,football,NOR,2024-12-01T13:08:43.074Z
FE72B0F2E7134C61B339E840565B2A80,football,GBR,2024-10-10T19:11:53.923Z
E40B37E29A2B43998D5E2A9C8BEBA99A,football,NOR,2024-06-13T16:53:42.664Z
58B6A6C7F1A140718781CDA1DC16C4AB,football,GBR,2024-05-22T11:00:12.633Z
D898313F736A41D0BB32B8FF28581D8D,basketball,GBR,2024-09-08T20:33:53.163Z
E70235447DB747C78359B31FCC82E0C1,football,NOR,2024-10-21T07:54:47.400Z
FDAA83048D5B497185BE46DEF96845A8,handball,NOR,2024-02-28T13:48:40.683Z
1785EFA16A344E83BFB509A569A3ED04,football,NOR,2024-06-15T11:01:23.235Z
E86E8623B76349E0902ABE2FA7B3EFFE,netball,GBR,2024-09-04T08:45:14.224Z
1D2ADE6FAC904AF1960B140BD95A185F,football,NOR,2024-07-03T10:27:14.302Z
AEA0A48D96814D5E8BD36951F99CEF92,football,NOR,2024-03-20T14:31:45.596Z
97AE84D9F2544546AADF59F0BAE6543E,other_non_sports,NOR,2024-06-14T23:46:38.350Z
03E2C3FF49814488B66216994AFFDFF4,running,GBR,2024-03-14T19:44:19.743Z
48C7F9A811494777BF5A4BC2F5AB9A23,cycling,GBR,2024-03-12T21:40:46.342Z
542AC14B54CA4AF284050A3AD4062859,music,NOR,2024-04-29T13:18:42.783Z
82400AEB78FE402297060901A818A763,football,GBR,2024-12-29T19:37:51.342Z
2FFD8440DC804B27A600923E85F13AC9,cricket,GBR,2024-06-10T08:52:26.889Z
464A681C42CA451CBD892AD616112A00,running,GBR,2024-03-19T16:13:59.465Z
7940FE92E92645D9A4B5B25DA820C42C,netball,GBR,2024-08-08T08:38:34.385Z
B866D1BAD84C473790CCCB5C09CCEA8D,football,GBR,2024-04-28T16:00:26.575Z
CB0514CA477B4CC1B78CA0160395D282,other_non_sports,NOR,2024-11-06T21:32:11.279Z
3F7207F85B8A4D249F6FF660320BB53A,sailing,GBR,2024-01-04T21:01:04.698Z
0B22FFC5320B404CB67D25A347B21E7C,football,GBR,2024-06-01T09:34:32.747Z
CCB0B40F39C045D0876DA0DE414B85F3,gymnastics,NOR,2024-09-10T13:58:52.132Z
D3C17A782B424B4DB37EBFD733B091CD,netball,GBR,2024-09-28T13:55:47.114Z
D9CD3757E6D443D09B0A357BBC03D37D,cycling,GBR,2024-06-05T09:26:25.571Z
E8CF976EE19B40BDAFCFDCE77F95C63D,martial_arts,NOR,2024-09-16T09:07:50.757Z
C3A1F3642C32435FA1AFDB21B8EBA1F6,netball,GBR,2024-09-10T07:24:33.828Z
49FF37C435C544DBB62D13961BE1131E,multisport,GBR,2024-05-21T15:19:40.616Z
3C6ECA9690C8457196987E161B4C2EBE,tennis,NOR,2024-06-05T11:04:02.216Z
70CFBB9B38BE4AF4B70D53809781917A,football,GBR,2024-04-25T10:56:11.139Z
710C3A653E984F988F4864391B1F42F5,beach_volleyball,GBR,2024-05-14T19:35:36.460Z
A2F263F5E2AB47748ACF8B03413F59A4,dancing_and_cheer,GBR,2024-10-17T16:35:26.245Z
94BC231A9E664094803B0E6392C9F3BD,other_non_sports,NOR,2024-08-06T20:00:09.954Z
0CAE61B6E89749D6BC64448B8FC2E771,football,GBR,2024-10-15T20:40:39.141Z
080582E5F3A844FAB1F11B220F47E740,netball,GBR,2024-08-23T16:43:10.453Z
CE77B6D7C8594558AEB9C43E9F4B8744,netball,GBR,2024-08-26T07:40:37.199Z
EC34005032614C83B450C337071F7BC8,football,GBR,2024-06-16T12:11:37.458Z
96C4E48B9D3240A8BFCD4EE930A99D79,handball,DEU,2024-02-28T13:53:41.417Z
4993AE4FAC6C4C88B5A891B38A853247,yoga,GBR,2024-11-12T17:23:59.943Z
C15B2666CC4D4363975F0E7C6067E7E5,football,NOR,2024-09-12T09:14:12.315Z
71238556EDFB4A74807E5C8167018C7B,football,GBR,2024-07-14T12:41:06.191Z
7E06F789C7914C8D9FCC83A8225839FA,scouting,NOR,2024-01-14T17:13:17.977Z
C871D1E8172A47A39B10E7E2FE95F40A,football,NOR,2024-10-06T11:13:03.666Z
3C93FA4F045C4236A121ED3E3898068D,gymnastics,NOR,2024-11-20T12:42:32.429Z
ACAC73154B3548C791654D68370B1311,football,USA,2024-05-01T18:18:01.504Z
C2FC16A2636C4C899FC4D8B07A208C8A,martial_arts,GBR,2024-08-07T20:55:04.313Z
F72EF16F036146388194E429A32BD622,cricket,GBR,2024-01-04T18:50:49.567Z
17D0488E24BB4C17A651A775A0C05546,football,GBR,2024-07-26T19:02:13.932Z
6D54BAFA8D4445E6AA44621D2E228695,rowing,GBR,2024-01-26T12:48:26.516Z
D3876BDDC22849BEB3AFD1453C912F28,gymnastics,NOR,2024-11-20T12:47:39.792Z
2BE266D161A742C2A2D1C4AE971D12F9,football,GBR,2024-12-15T20:08:47.549Z
B21C03C3717C445591E30729CCF4AC10,volleyball,GBR,2024-05-31T07:55:18.359Z
B37E40F082184D5CA4A497234539BE05,football,GBR,2024-04-12T00:23:34.801Z
459FCF3E6549474AB18E02DB2CA58FFC,pickleball,GBR,2024-06-11T08:10:20.866Z
93F41B31FBD0411DB7691D8AB85A5B6F,school,NOR,2024-04-12T19:53:20.101Z
D2083613190F48D18EA0544AA2475144,football,GBR,2024-07-07T19:34:46.114Z
2998A953562D401F84C601713688315B,social,NOR,2024-09-15T17:20:11.189Z
F888A79A56B24CDA86C2DB6F438B300D,multisport,GBR,2024-11-28T13:26:07.515Z
52E29364BF604F59839E5EE3019DC0E6,football,GBR,2024-06-08T07:39:24.692Z
6FE62B0D111140769E0122AA5C11A40F,netball,GBR,2024-10-29T20:45:36.493Z
23E3158B79934D018A360FBB3F3344F1,baseball,USA,2024-02-14T13:09:37.484Z
4A9559AA6C8C437D900FFB430D052EDD,netball,GBR,2024-07-02T21:03:58.046Z
A767F9493FF343F5BD87AAC98B2DFB9F,football,GBR,2024-07-21T18:46:32.388Z
C5F10E7C2EC84276969DAD9933AA5A13,netball,GBR,2024-05-21T16:06:21.642Z
815DD8EFF5F14EC08520430A8491951B,cricket,GBR,2024-02-28T19:27:03.371Z
084D52B3FEEE42D6A35D5F078F06752F,football,USA,2024-05-26T20:59:16.317Z
4DED2FEE740E4DF4A6539775DA40A125,football,GBR,2024-07-01T20:08:08.643Z
036EBAE26D134C94A5367D0531D906C4,basketball,GBR,2024-06-22T17:01:40.122Z
D85846145E7F48F5B29D1B54E8AFEE8A,football,NOR,2024-02-24T16:08:16.027Z
95BE6DEDF6E64857B96CAACCAE8F014B,football,GBR,2024-06-15T13:47:59.421Z
374F9B71E47B48798FFB1DCACCCAFA68,football,NOR,2024-08-30T17:04:46.333Z
C271E9FDF579472CB7BAD212A151CB19,football,USA,2024-05-26T21:28:50.191Z
2FBE46261AC34E59B15FFA4F05EFCD8F,volleyball,GBR,2024-02-27T11:16:37.521Z
89DB48B8F9EC478AA0D53AB6891FA07D,football,USA,2024-05-26T20:57:06.111Z
0FCABB5F3AC44F00BA24AB74C5517260,football,GBR,2024-04-24T20:47:54.671Z
521D855914104AE4931234F909D1C5D1,football,GBR,2024-11-10T19:49:15.430Z
44AD69AF523B4454BEE06C7CC5098648,football,USA,2024-05-13T13:44:53.796Z
8289D80C46A24674A64D5C4365198EC7,ice_hockey,GBR,2024-09-16T11:07:46.195Z
6FA8B5A4316244C792E7838623848616,social,NOR,2024-08-18T18:37:43.868Z
DFBBF01829A547F08A5347CD898B6007,football,USA,2024-02-29T04:53:00.777Z
3E5A86192A934F78B2542A4950C9F437,netball,GBR,2024-08-30T11:55:26.199Z
342EFC60AC8F4CF788D2242EFC91C5BF,football,GBR,2024-08-10T11:49:24.774Z
C6750BDA5AA24FE789CA6E875BF8E008,music,NOR,2024-02-02T13:04:54.243Z
1F484B3231D542D697A229B6ABC16C7E,football,GBR,2024-08-15T17:04:17.251Z
3891FAA1187C402A90362BA8BC59A2BA,cricket,GBR,2024-04-02T11:06:18.058Z
7548C7B64C9B4637A0B856068C8B7B5E,rugby,GBR,2024-04-05T21:22:09.552Z
910150674E214124AB52660B72DC97CE,football,GBR,2024-07-30T09:29:21.874Z
8EAD30C58B194F068AFEF305D63F1BFE,football,NOR,2024-02-24T16:10:35.883Z
D2DD12A860D74C689206ECF0B24190EF,football,GBR,2024-05-24T09:17:26.579Z
B16BE68535DE47A0A80241BB32E80688,rugby,GBR,2024-06-20T09:55:37.619Z
92501FE7DA19482F8C1DC693EB58FEF0,football,GBR,2024-11-25T13:19:06.819Z
1749A2B8160D462BA1E74ECC74E64403,football,GBR,2024-09-23T10:05:39.020Z
0B0A45028EF348DF8A83CAE81A43BA37,football,NOR,2024-03-07T10:10:54.248Z
29162FBB637341BEB4DD896694783873,lacrosse,GBR,2024-06-17T20:05:37.836Z
05B260345582410DB9197E9368F10979,handball,NOR,2024-01-25T07:36:47.885Z
66F67FDDBAE14083A508588F054A82B0,football,GBR,2024-11-21T13:45:35.958Z
648D5126B6CD4B4D88828B10AE9D2950,rugby,GBR,2024-07-18T21:00:15.117Z
7F1D3AF59B45443EAC15ADCDED1D270F,school,NOR,2024-09-27T07:50:55.362Z
D14607602BE249F7BE6CA9D36CD5AEA3,football,GBR,2024-08-05T19:27:00.036Z
FF4173C2DC0345B5A9A04EE99644C09E,golf,GBR,2024-04-19T16:05:11.232Z
5BE663C795954EB18CDA8E386638D94E,water_sports,GBR,2024-09-25T15:19:58.336Z
C28AA0D88BE34080B90716854CC5A47B,football,GBR,2024-12-17T12:52:52.640Z
CCEF6C845EAC43EFB5BB7C3DCA62814E,football,NOR,2024-05-31T13:27:41.762Z
F9F8092684CD4F87908791639909A5A7,football,NOR,2024-02-01T09:14:14.234Z
D0E2970105D54FBFA872943BBC6C3959,football,GBR,2024-04-30T16:38:16.792Z
A868795DABF74532869990A98A9B9746,rowing,GBR,2024-01-27T16:07:01.225Z
842FE138A3EC4F29A22AB08F02A8C209,football,GBR,2024-09-07T08:22:28.803Z
E0DE867A889948A9B4748D526C507F5F,other_non_sports,GBR,2024-10-03T12:46:53.253Z
DCDC6F2046E74BC690FFE7C6DE87E3B0,volleyball,GBR,2024-08-21T10:05:43.342Z
BC6EF27C3E7D4788BF8A99ED2A45A60C,football,GBR,2024-07-30T07:27:12.430Z
787CB8C15AA3437B8B203A410DE1A645,football,NOR,2024-03-07T10:12:52.886Z
703A892F443041728851BEE29EAF0361,football,GBR,2024-09-24T10:57:24.452Z
B4A8B3EF755A46BB81CDA34704ABEFE3,cricket,GBR,2024-02-20T21:27:01.025Z
F8BF48DDE25145D7BE15DE5AE21150AB,padel,NOR,2024-01-28T12:34:55.100Z
6E1C87D5A7754EC693E453D7DC8B03F5,football,GBR,2024-01-31T19:50:26.758Z
65DD7FA42786487AA503B0617B240FAB,cricket,GBR,2024-01-30T17:56:55.522Z
1F9BC5A89DCE4E51AE59A4C223D1F62D,school,NOR,2024-06-10T19:26:58.245Z
453FF1B3C6E3403EAB5372E43869F4AA,basketball,GBR,2024-03-06T21:40:25.363Z
170E2EDDA7C24CADBD02F1FE69170156,rugby,GBR,2024-08-19T17:52:26.575Z
4B7B5C6BB1B84F699D9E21540B5F417A,rugby,GBR,2024-08-19T17:55:07.521Z
36360D8DE1AE4A3C942B10F1E6471BBF,netball,GBR,2024-02-12T09:53:51.082Z
53403690F65741BAA03587E5A1B2180C,rugby,GBR,2024-08-19T17:12:18.487Z
3139069FDD0E44DA89DEC467B461C24C,football,GBR,2024-09-01T15:45:02.065Z
B09BD754FDA347E881B0B12A0D9E808C,football,GBR,2024-07-07T13:25:23.005Z
CD82D7176D6844DEA2B88AD482C6F497,cycling,NOR,2024-11-28T09:43:20.895Z
2E3B34FB41F147FBA0B414D6DFC5F00D,football,GBR,2024-03-07T07:23:03.324Z
E974A00CD4674E2A9C260130BF8733EF,gymnastics,GBR,2024-07-28T21:02:02.053Z
942524E80297489FAB707DDAFA07FC9B,handball,NOR,2024-08-16T08:24:23.489Z
C82CEC3F3F874311B19F0F7CB4D48F88,football,NOR,2024-11-18T11:00:25.619Z
31770C369A2C4AC2BE0C336CBAF709E7,swimming,GBR,2024-08-15T15:02:05.924Z
54D5FB0FC7B64049B31F9B7E1B8B1CF3,rugby,GBR,2024-08-19T17:56:40.648Z
6C72C927C37D4A05895DE3E6B6D8B282,cricket,GBR,2024-03-14T10:37:42.678Z
